feature,correlation
Property_Area,0.07151751791060963
Loan_Amount_Term_ in_year,0.059656912693069934
Income_Category,0.055940996818475586
Self_Employed,0.04622976035452137
CoapplicantIncome_log,0.03433099873444293
Has_Coapplicant,0.032325391893491574
Education,0.031252606310329736
Married,0.028641483262634295
LoanAmount_log,0.024627875310179678
Gender,0.018320484562186334
ApplicantIncome_log,0.00721964986816687
Total_income_log,0.0062681666661019856
Credit_History,0.006212848145597647
Dependents,0.005186417997405247
EMI_log,0.003697139715794242
