Gender,Married,Dependents,Education,Self_Employed,Credit_History,Property_Area,Loan_Amount_Term_ in_year,Income_Category,Has_Coapplicant,ApplicantIncome_log,CoapplicantIncome_log,LoanAmount_log,Total_income_log,EMI_log
-1.0,0.0,1.205008368681069,1.0,0.0,0.0,0.0,0.0,-1.0,0.0,-3.9517895521773165,0.13718908294026674,-0.5477705980166927,-0.896371354207179,-0.49492312546167766
0.0,0.0,0.6933022025917679,0.0,0.0,-4.3499657550808735,0.0,0.0,-1.0,0.0,-0.2808268368460767,0.03804589531892557,-0.04922555907809068,-0.31790847621838714,-0.07992336114004481
0.0,0.0,0.0,1.0,0.0,0.0,-0.5,0.0,-1.0,0.0,-0.34439664478408183,-0.08188918478100878,-1.4278497411467557,-0.731005176894796,-1.2275201998622907
0.0,0.0,1.205008368681069,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3119136994314359,0.04101906047700653,0.3998876268057167,0.21651805095427115,0.2939282505264228
0.0,0.0,1.8075125530216039,0.0,0.0,0.0,-0.5,0.0,-1.0,0.0,-0.46775482824454045,0.09362216561903476,-0.6169871313879279,-0.19958432884402474,-0.5525404775415969
-1.0,0.0,0.0,0.0,0.0,-4.3499657550808735,0.5,0.0,0.0,0.0,-0.34815698946643975,0.12355476089777852,-0.2654752904249811,0.08017377265846756,-0.2599343541982426
0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,2.3509751759663815,0.24415176936580055,2.989393790241847,2.7289888481538025,2.4494896614338844
0.0,0.0,1.5971202580184827,0.0,0.0,0.0,0.0,-13.254017976378005,-0.6508035952756008,0.0,0.28081275291270646,-0.8954779297775296,0.4129323105699257,-0.2518703055241779,1.4031646254799117
0.0,0.0,0.0,1.0,0.0,-4.3499657550808735,0.0,0.0,-1.0,0.0,-0.5479693863132475,0.09740905069175324,0.400756057633308,-0.2280211088719564,0.2946511512889042
0.0,0.0,1.8075125530216039,1.0,1.0,0.0,0.0,0.0,0.0,0.0,-0.16161823082152887,0.09867695269261215,0.08130424666574995,0.04492677116198002,0.028732496184240387
-1.0,-1.0,0.0,0.0,0.0,0.0,-0.5,0.0,0.0,-1.0,1.3447217490035592,0.06472545193746106,1.3025688506444355,1.299084031405882,1.0453397898894008
-1.0,-1.0,0.0,0.0,0.0,-2.695320204173214,0.0,0.0,-1.0,-1.0,0.1521810858365885,-0.8954779297775296,-0.20208488712694497,-0.4083212336104181,-0.20716679986665004
0.0,0.0,1.2816905405099692,1.0,0.0,-0.5536307135294716,-0.5,0.0,-1.0,0.0,-0.5534058202124369,-0.8954779297775296,-0.27986563371003065,-1.2665059155483853,-0.27191318982063106
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.16161823082152887,0.11723016358902318,0.04678749590954072,0.14325200063431903,0.0
0.0,0.0,1.205008368681069,0.0,0.0,0.0,-0.5,0.0,-1.0,0.0,-0.511116571593674,0.10811924928317514,-0.0060122711826519105,-0.14297111783400585,-0.04395167775843857
0.0,-1.0,0.0,0.0,0.0,0.0,0.5,0.0,-1.0,-1.0,-0.5674597484323478,-0.8954779297775296,-1.677454893001377,-1.283599296698156,-1.4352969724757896
0.0,-1.0,0.0,0.0,0.0,-2.371967333281054,-0.5,0.0,0.0,-1.0,0.6593075542611272,0.17989352825323632,1.5407026381319526,1.0631550548153417,1.2435675485984956
0.0,-1.0,0.0,1.0,0.0,-0.46461960889406934,0.5,-15.0,0.0,-0.10680994634299856,-0.5697345321322715,0.1641877538538664,0.043042702455726146,0.2221667403430543,1.2814292632430673
0.0,0.0,0.0,0.0,1.0,0.0,0.0,-20.0,-1.0,0.0,-0.11074471990350515,-0.8954779297775296,-3.5890810863194793,-0.728110188079293,-0.9906182604663668
0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.7016599859157736,-0.8954779297775296,0.5435688217598889,0.2599938542312421,0.41353161107811687
-1.0,-1.0,0.0,0.0,0.0,0.0,-0.5,0.0,-1.0,-1.0,-0.05096358767852201,-0.8954779297775296,0.056998579868499676,-0.6554001483881311,0.008499929004324615
0.0,-1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.8125447796027542,-0.8954779297775296,0.08130424666574995,0.3948597801522182,0.028732496184240387
0.0,0.0,1.205008368681069,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,-0.44632446731595166,0.018683418142818653,-0.5706044989814849,-0.5387371694179859,-0.513930562661547
0.0,0.0,0.6025041843405345,0.0,1.0,0.0,0.0,0.0,0.0,0.0,-0.1143165975759405,0.0933735032386488,0.5712249019779357,0.05399922628861621,0.436553135466334
0.0,-1.0,0.0,0.0,0.0,0.0,0.0,10.0,-1.0,-1.0,-0.30346700827321044,-0.8954779297775296,-0.42885175513906776,-0.9625126611538444,-0.9290674585070902
-1.0,-1.0,0.0,1.0,0.0,0.0,-0.5,0.0,-1.0,-1.0,-0.13433162366808124,-0.8954779297775296,-0.6169871313879279,-0.7567982480922685,-0.5525404775415969
0.0,0.0,0.6025041843405345,0.0,0.0,0.0,0.5,0.0,-1.0,0.0,-0.8522619751260873,0.13754343970967806,-0.23070221339471797,-0.13416976942496148,-0.23098848643267414
-1.0,-1.0,0.0,0.0,0.0,0.0,-0.5,0.0,0.0,-1.0,1.2654140819914037,-0.8954779297775296,0.7864930257786121,0.9456714447366918,0.6157470169929375
0.0,-1.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,-1.0,-0.9791258634131293,0.45437825510945684,-0.7373562198491518,3.162889266165167,-0.6527383321815053
0.0,0.0,1.2775340871121739,0.0,0.0,-4.3499657550808735,-0.5,0.0,0.0,0.0,-0.14681037956349074,0.08701379137980088,-0.22538510739726272,0.0,-0.22656241142746358
-1.0,-1.0,0.0,0.0,0.0,0.0,-0.5,0.0,0.0,-1.0,0.004380211194814659,0.06472545193746106,0.16532500398956704,0.023256578230550426,0.09867320718147284
0.0,0.0,1.205008368681069,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,-0.012118242267569752,-0.8954779297775296,-0.09689369904463142,-0.6081536928339343,-0.11960336055169447
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4544185110413743,-0.8954779297775296,1.3898853684928394,1.1755519944444073,1.1180239638320797
0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,-0.5558946653160327,0.17126932805252554,-0.09689369904463142,0.27062176234880597,-0.11960336055169447
0.0,-1.0,0.0,0.0,1.0,0.0,0.5,0.0,0.0,-1.0,1.475392476136513,-0.8954779297775296,-0.9176164962561324,1.2010620137061578,-0.8027909179713776
0.0,-1.0,0.0,0.0,0.0,0.0,-0.5,0.0,0.0,-1.0,-0.027324999668457417,0.18743093162694222,0.7045752856899677,0.665235227905185,0.5475569034117771
-1.0,-1.0,0.0,0.0,1.0,0.0,-0.5,0.0,0.0,-1.0,0.9394803225759806,-0.8954779297775296,0.9725392456617541,0.5492477621842041,0.7706159483312426
-1.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,1.3447217490035592,-0.8954779297775296,1.190977637833944,1.0421310366120262,0.9524488303979313
0.0,0.0,1.205008368681069,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3944135418437639,0.16679565938119142,1.4088325962851012,0.803572633541669,1.1337960495097896
-1.0,-1.0,0.0,0.0,0.0,0.0,-0.5,10.0,-1.0,-1.0,-2.4133262515635634,0.16735900620823352,-0.23070221339471797,-0.3543771189863088,-0.764123458062485
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04919414127482037,0.1256932261023084,0.5712249019779357,0.338099598764895,0.436553135466334
0.0,-1.0,0.0,1.0,0.0,0.0,-0.5,0.0,0.0,-1.0,0.054474690636718365,0.06472545193746106,-0.310937413221194,0.06572010223159515,-0.2977780168012372
0.0,0.0,0.0,0.0,0.0,0.0,-0.5,0.0,0.0,0.0,-0.46775482824454045,0.1874008424185818,-0.07841819195077031,0.43925179797323,-0.10422394547216927
-1.0,-1.0,0.0,0.0,0.0,0.0,-0.5,0.0,-1.0,-1.0,-0.3987097035159266,-0.8954779297775296,-1.143569881846832,-1.0783535610104893,-0.9908794444713139
0.0,0.0,1.205008368681069,0.0,1.0,0.0,0.5,0.0,0.0,0.0,-1.167756486689588,0.38632434986607733,1.436954475401756,2.3262966146611026,1.1572053150608816
0.0,0.0,1.205008368681069,0.0,0.0,-4.19940985987693,0.0,0.0,-1.0,0.0,-0.3640276884012487,0.07911141972826871,0.11292293688176282,-0.20341135983645403,0.05505258356439032
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.3252606056285389,0.13643283799925698,0.09836399165925827,0.15038362188401694,0.04293340001183822
0.0,-1.0,0.0,0.0,0.0,-2.1523224619406633,0.5,-15.0,0.0,-1.0,0.22370216401466791,0.14655007501991069,-0.04314911560194811,0.5736071201466834,1.2096813139373424
